"#name"|"Korean Law Dic" 
"복본 複本 [영] bill in a set, part of a set [독] Ausfertigung, Duplikat"|"(1)어음의 복본：1개의 어음상의 권리를 표시하는 몇 통의 어음을 작성하였을 때 이것을 복본이라 한다. 그것들은 내용이 동일하고 복본임을 나타내기 위하여 번호를 기재하여야 한다(어64). 각 통은 단독으로 어음의 효력을 가지며, 한 통만으로도 권리를 행사할 수 있으나, 각통이 표시하는 권리는 1개이므로 어느 한 통에 대하여 지급을 하면 특별한 경우를 제외하고 나머지 복본은 모두 효력을 상실한다(어65). 이 제도에 의하여 소지인이 1통을 상실해도 다른 것으로 행사할 수 있으며, 또 인수 등을 위하여 1통은 송부중이라도 다른 1통에 의하여 양도할 수 있는 편의가 인정되고 있다. 후자의 경우에는 송부처를 기재한 각통의 소지인은 송부된 1통의 보지자에게 인도를 청구할 수 있다(상66). 이 제도는 약속어음에는 없으나 수표에는 위의 것을 간단히 한 것이 제한적이면서 인정되는 실정이다(수48·49). (2)주주명부·사채원부의 복본：명의개서대리인을 두는 경우에 같은 내용으로 작성되는 여러개의 주주명부·사채원부를 말한다. 명의개서대리인이 영업소에 비치해 두며, 명의개서를 위하여 이용된다(상337·396)."
"복수노조 複數勞組"|"하나의 사업 또는 사업장에 노동조합이 조직되어 있는 경우에 기존의 노동조합과 조직대상을 같이 하는 새로운 노동조합을 의미한다. 하나의 사업 또는 사업장에 조직되어 있는 노동조합이란 하나의 사업 또는 사업장의 근로자를 조직대상으로 하는 기존의 단위노조를 말하며 반드시 기업별단위노조에 한정되는 것은 아니다. 기존의 노동조합과 조직대상을 같이하는 새로운 노동조합이란 그 노동조합과 조직대상이 중복되는 제2의 단위노조로써 기존의 노동조합이 하나의 사업 또는 사업장의 근로자를 조직대상으로 하고 있는데도 불구하고 같은 근로자를 조직대상으로 하는 제2의 단위노조를 말한다. 그러나, 현행 노동조합및노동관계조정법은 복수노조에 있어 2001.12.31까지 유보하고 있다."
"복수시대 復讐時代"|"형법의 진화에 관하여 종래 행하여지고 있던 원시단계의 시대적 구분. 고대에는 형벌은 종족 사이에 복수로서 나타났다. 구체적으로 말하면 생물은 자기유지의 본능으로 공격에 대하여 방위로 나아간다. 범죄에 대한 응보, 즉 동에 대한 반동이다. 복수는 복수감정·종교관념으로 나타난다. 전자의 자기유지의 본능은 방어적이지만, 복수는 공격적이며, 끝내 공격자를 타도할 것이라는 심리적 긴장의 투영(Projection)이다. 후자는 신성에 대한 불가침, 즉 터부의 사상에서 볼 수 있다. 이것은 연좌법인 복수법에 의하여 행하여졌으며, 형사소송의 방식은 모두 탄핵주의였다."
"복심제 覆審制"|"상소심인 법원이 하급심의 심리·재판과는 아무런 관계없이 새로운 심리를 개시하고 상소심 스스로 사건에 대하여 판단을 내리는 것을 말한다. 우리 구형사소송법 및 형사소송법개정(1961.9.1) 전의 항소심구조는 이 주의를 채용하여, 항소가 있으면 제1심공판절차와 마찬가지로, 검사는 공소사실을 진술하고 항소법원에 의하여 다시 피고인신문 및 증거조사를 한 후, 이 새로운 심리의 결과에 따라서 사건을 판단하고 새로이 판결을 하였던 것이다. 이러한 소송구조는 심리에 있어서, 신중을 기한다는 점에서 그 장점이 있으나, 제1심을 경시하고 불필요한 절차를 반복하게 된다는 폐해가 있다. 특히 직접심리 및 전문증거의 배척이 강조되는 한편, 상고심으로서의 대법원에 법령위반의 최종심사와 판례의 통일을 기하고 있으므로 현행 형사소송법에는 이 복심주의를 포기하고 사후심제도를 채택하게 된 것이다."
"복적 復籍"|"호주 또는 아내의 직계존속 혹은 분가한 호주의 직계존속·가족이 입적하는 것(호 102·103). 입적의 한 형태이다. 호주의 동의를 얻어 일정한 사항을 기재하여 신고함을 요한다."
"복지국가 福祉國家"|"19세기 후반에 접어들면서 자본주의가 고도의 발전을 거듭함에 따라, 각국에서는 자본주의가 안고 있는 여러 가지 모순과 폐단으로 인하여 심각한 사회문제에 봉착하게 되었다. 이에 따라, 국가는 사경제에 대하여 가능한 한 인정하여 오던 종래의 자유방임주의정책에 수정을 가하지 않을 수 없었다. 다시 말하면 무제한한 자유방임주의를 버리고, 적극적으로 사회의 경제질서에 개입함과 동시에 경제적 이해관계의 대립을 조정하여 국민의 생존권을 실질적으로 보장하도록 노력하게 되었다. 이와 같이 국가기능이 확대된 현대의 국가형태를 복지국가라 한다. 더욱 제1차대전 후로는 행정기능의 확대현상이 더욱 심화되고 있는데, 이 현상을 가리켜 자유국가에서 복지국가로의 이행이라는 말로 표현하고 있다. 국민의 생활배려를 위한 방안으로서 근로조건의 정비, 개인독점의 규제, 사회보장제도 등이 행하여지고 있다. 그러나 현대국가에 있어서 위와 같은 국가기능의 확대가 일반적 현상이기는 하지만, 그 내용에 있어서는 국가에 따라 각각 그 특징을 달리하고 있다는 점에 주의하지 않으면 안된다. 우리나라의 현행 헌법은 제10조에서 국민의 기본적 인권을 선언하고, 제31조에서 교육을 받을 권리, 제32조에서 근로의 권리, 제33조에서 근로자의 단결권·단체교섭권·단체행동권을 보장하고 있으며, 제34조에서 국민의 생활권과 사회보장에 관하여 규정하고 있다. 이와 같은 규정은 국가가 국민의 생활배려를 위하여 필요한 조치를 강구하도록 요구하고 있으며, 실제로도 어느 정도 복지국가의 면모를 갖추고 있다고 말할 수 있다. 그러나 아직도 복지국가의 이념을 완전히 관철하고 있다고는 말하기 어렵다. 현행헌법하에서, 우리 현실은 자유국가와 복지국가의 이념을 병존시키고 있는 것이다. 또한 복지국가는 격렬하게 충돌하는 경제적 이해의 대립을 조정하여 국민의 생존권을 보장함과 동시에 국가정책이 독점자본의 지배를 배제하고 내면적으로 이를 보완하는 기능을 충분히 발휘할 때에 비로소 실현되는 것이다."
"복직 復職"|"넓은 뜻으로는 어떤 이유로 인하여 그 직을 떠난 공무원이 원상으로 돌아오는 것을 의미하나 좁은 뜻으로는 휴직된 자가 휴직사유의 해소에 의하여 다시 직무를 담당케 하는 것을 가리킨다. 복직은 임명권자가 이를 행하는 것이 보통이다(국공73②)."
"복표에관한죄 福票에關한罪"|"복표의 발매·발매의 중개·취득을 하는 죄(형248). 복표라 함은 발매자가 번호찰을 발매하고 추첨 및 그 밖의 방법으로 구매자간에 불평등한 금액을 분배하는 것을 말한다. 도박과의 차이는 도박에는 관여자가 모두 위험을 부담함에 반하여 복표에 있어서는 복표발매자는 기업실패의 위험을 부담하나 우연에 의한 위험은 부담하지 않는다. 경마 등에 있어서와 같이 복표 발매를 허가하는 특별한 경우가 있다."
"본국법주의 本國法主義 [영]  doctrine of nationality [독] System der Heimatrechte"|"국제사법은 여러 가지 기준에 따라서 섭외적 사법관계를 규율하기 위한 준거법을 결정한다. 이 기준이 되는 요소를 [연결점]이라고 한다. 어떤 섭외적 사법관계를 준거법이 되는 법질서와 결부된다는 뜻에서 개별적인 국제사법규정이 연결규칙이라고 불리는 것도 똑같은 관계를 표시하고 있다. 사람의 [신분 및 능력]에 관한 사항의 준거법(속인법)을 정하기 위한 연결점으로서 국적을 선택하는가(국적주의 또는 본국법주의) 아니면 주소에 의하는가(주소주의 및 주소지법주의)는 각국의 국제사법을 양분하는 근본문제인 것이다. 영미에서는 전통적으로 주소지법주의에 의하고 우리나라 국제사법은 대부분의 유럽의 법제와 마찬가지로 본국법주의를 채용하고 있다. 속인법의 연결점에서 본다면 국적이 주소 이상으로 보다 명확하고 보다 고정적이라는 것은 인정되고 있지만 또한 동시에 중국(重國)적 또는 무국적이라는 사례를 면할 수 없다. 이로 인하여 본국법주의는 퇴조하고 오히려 주소지법주의에의 경향이 강하다. 헤이그회의가 그런 동향을 잘 나타내고 있다. 즉 1951년에 성립한 [본국법과 주소지법과의 사이에 저촉을 규율하기 위한 헤이그조약]에는 주소지법주의의 우위가 인정되고 있다."
"본권 本權"|"어떤 사람이 물건을 점유하고 있다 하더라도 그 점유를 정당화하는 실질적인 권리에 의하여서 점유하고 있는 경우도 있지만 그렇지 않은 때도 있다. 예컨대, 임차인이나 소유자는 각기 임차권, 소유권이라는 권리에 의하여 정당하게 점유하고 있는 자인데, 도둑과 같은 자는 그러한 권리가 없으며, 사실상 점유하고 있을 뿐이다. 이러한 소유권이나 임차권 등과 같이, 점유를 정당하게 하는 실질적인 권리를 본권 또는 점유할 권리라고 한다."
"본등기 本登記"|"등기는 토지·건물을 표시하고 그 소유자나 저당권자 등 일정한 권리관계를 일반에게 공시하여 권리자 및 거래의 안전을 도모하기 위하여 여러 가지 효력이 인정되고 있는데 이 등기 본래의 효력을 발생시키는 등기가 종국등기이다. 또한 이것은 가등기에 대응하는 뜻에서 [본등기]라고도 부른다. 그런 까닭에 등기 본래의 효력을 지니지 않고 장래 종국등기를 할 것을 예상하고 미리 행하는 가등기나 단순히 일정한 사실을 기입하는 예고등기는 예비등기라 하여 이와 구별한다. 종국등기는 그의 기재내용에 의하여 [기입등기], [변경등기], [말소등기], [회복등기]로 분류되고 또한 그 형식에 의하여 [주등기]와 [부기등기](단순한 추가기재의 등기)로 구별된다."
"본등기 本登記"|"등기의 본래의 효력을 발생케 하는 등기. 종국등기라고 하는 것과 같다. 또 가등기에 대하여 그 가등기에 의하여 순위가 보전된 등기를 말할 때도 있다(부등6)."
"본안판결 本案判決 [독] Sachurteil"|"원고의 청구가 실체상의 이유가 있는가의 여부, 혹은 상소에 의한 불복의 주장이 실체상의 이유가 있는가의 여부를 판단하는 종국판결이다. 계속된 소송이 소송요건을 구비하고, 제기된 상소가 상소의 적법요건을 구비하면 법원은 반드시 본안판결을 하여야 한다. 이것은 결국 원고의 청구가 이유있다고 하는 원고승소의 청구인용판결이거나, 이유없다고 하는 원고패소의 청구기각판결이며, 또는 상소인 승소의 상소인용판결과 상소인패소의 상소기각판결이다. 청구인용판결은 소에 의한 청구의 종류에 따라서 급부판결·확인판결·형성판결 등으로 나누어진다. 상소기각의 판결은 원판결을 취소하거나, 또는 파기하여 자판하는 종국판결과 자판하지 않고 환송 또는 이송하는 종국판결로 나누어진다."
